facility_code,facility_name,facility_shortname,address_1,address_2,district,state,postcode,sector,type,latitude,longitude
21-02040270,KLINIK DESA SUNGAI LALANG,,"SUNGAI LALANG, BEDONG",,KUALA MUDA,KEDAH,08100,GOVERNMENT,KLINIK DESA,5.69975,100.517167
21-02040103,KLINIK DESA BATU BELACAN,,"BATU BELACAN, KUALA KETIL",,KUALA MUDA,KEDAH,08010,GOVERNMENT,KLINIK DESA,5.62443,100.64813
21-02040141,KLINIK DESA GURUN,,GURUN,,KUALA MUDA,KEDAH,08300,GOVERNMENT,KLINIK DESA,5.81979,100.47765
21-02040250,KLINIK DESA KAMPUNG PULAU SAYAK,KDKPS,KAMPUNG PUALU SAYAK,,KUALA MUDA,KEDAH,08500,GOVERNMENT,KLINIK DESA,5.65257,100.3406
21-02040232,KLINIK DESA PADANG SALIM,,KAMPUNG PADANG SALIM,,KUALA MUDA,KEDAH,08500,GOVERNMENT,KLINIK DESA,5.636046,100.358095
21-02040235,KLINIK DESA PANTAI PRAI,,"KAMPUNG PANTAI KIRI, SUNGAI PETANI",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK DESA,5.56145,100.53246
21-02040121,KLINIK DESA BUKIT MERIAM,,"KAMPUNG BUKIT MERIAM, KOTA KUALA MUDA",,KUALA MUDA,KEDAH,08500,GOVERNMENT,KLINIK DESA,5.61202,100.3617
21-02040257,KLINIK DESA SEMELING,,"SEMELING, BEDONG",,KUALA MUDA,KEDAH,08100,GOVERNMENT,KLINIK DESA,5.704353,100.471933
21-02040304,KLINIK DESA TIKAM BATU,,"KAMPUNG MASJID, KOTA KUALA MUDA",,KUALA MUDA,KEDAH,08500,GOVERNMENT,KLINIK DESA,5.584444,100.435556
21-02040041,KLINIK KESIHATAN BUKIT SELAMBAU,KKBSLB,"BUKIT SELAMBU, SUNGAI PETANI",,KUALA MUDA,KEDAH,08010,GOVERNMENT,KLINIK KESIHATAN,5.6898,100.632722
21-02040040,KLINIK KESIHATAN BEDONG,KKBEDG,BEDONG,,KUALA MUDA,KEDAH,08300,GOVERNMENT,KLINIK KESIHATAN,5.72292,100.50646
21-02040067,KLINIK KESIHATAN MERBOK,KKMRBK,MERBOK,,KUALA MUDA,KEDAH,08400,GOVERNMENT,KLINIK KESIHATAN,5.722667,100.409472
21-02040030,KLINIK KESIHATAN TAMAN INTAN,KKTI,JALAN TAMAN INTAN,,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK KESIHATAN,5.63491,100.47812
21-02040051,KLINIK KESIHATAN KOTA KUALA MUDA,KKKKK,"JALAN PANTAI MERDEKA, JALAN SUNGAI MAS",,KUALA MUDA,KEDAH,08500,GOVERNMENT,KLINIK KESIHATAN,5.5875,100.37475
21-02040274,KLINIK KESIHATAN SUNGAI PASIR,,"TAMAN DESA MERANTI INDAH, SUNGAI PETANI",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK KESIHATAN,5.6029,100.47177
21-02040077,KLINIK KESIHATAN SUNGAI LALANG,KKSL,"LOT 15,16,17 & 18, TAMAN LEMBAH PERMAI, SUNGAI LALANG, BEDONG",,KUALA MUDA,KEDAH,08100,GOVERNMENT,KLINIK KESIHATAN,5.715722,100.534861
21-02040037,KLINIK KESIHATAN BANDAR SG. PETANI,KKBSPT,JALAN BADLISHAH,,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK KESIHATAN,5.64704,100.49774
21-02040485,KLINIK KESIHATAN UTC SUNGAI PETANI,K1MUTCSP,"LOT G-UTC-02, UTC SUNGAI PETANI, BANGUNAN UKIR SQUARE, JALAN KUALA KETIL",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK KESIHATAN,5.640955,100.490797
21-02040323,KLINIK KESIHATAN IBU DAN ANAK SUNGAI PETANI,KKIASPT,"81, JALAN PADANG",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK KESIHATAN IBU DAN ANAK,5.64241,100.48786
21-02040367,KLINIK KOMUNITI TAMAN RIA JAYA,K1MTRJ,"NO. 9, JALAN KUDA KEPANG 1/1A, TAMAN RIA JAYA",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK KOMUNITI,5.3812,100.3305
21-02040359,KLINIK KOMUNITI LEMBAH BUJANG INDAH,K1MLBI,"NO. 25A, (TINGKAT BAWAH) JALAN LEMBAH BUJANG INDAH, TAMAN LEMBAH BUJANG INDAH",,KUALA MUDA,KEDAH,08100,GOVERNMENT,KLINIK KOMUNITI,5.70668,100.43979
21-02040490,KLINIK KOMUNITI GURUN,K1MGRN,"28G, JALAN RAYA, GURUN",,KUALA MUDA,KEDAH,08300,GOVERNMENT,KLINIK KOMUNITI,5.4911,100.2841
21-02040336,KLINIK PERGIGIAN SUNGAI PETANI,KPSPTNI,"JALAN KAPAL TERBANG, 08000 SG PETANI",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK PERGIGIAN,5.64873,100.48454
11-02040020D,KLINIK PERGIGIAN DI HOSPITAL SULTAN ABDUL HALIM,,"JALAN LENCONGAN TIMUR BANDAR AMANJAYA, SUNGAI PETANI",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK PERGIGIAN DI HOSPITAL,,
21-02040067D,KLINIK PERGIGIAN DI KLINIK KESIHATAN MERBOK,,"MERBOK, 08400 MERBOK",,KUALA MUDA,KEDAH,08400,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-02040040D,KLINIK PERGIGIAN DI KLINIK KESIHATAN BEDONG,,"BEDONG, 08300 BEDONG",,KUALA MUDA,KEDAH,08300,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-02040037D,KLINIK PERGIGIAN DI KLINIK KESIHATAN BANDAR SG. PETANI,,"JALAN BADLISHAH, 08000 SUNGAI PETANI",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-02040030D,KLINIK PERGIGIAN DI KLINIK KESIHATAN TAMAN INTAN,,"JALAN TAMAN INTAN, 08000 SUNGAI PETANI",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-02040041D,KLINIK PERGIGIAN DI KLINIK KESIHATAN BUKIT SELAMBAU,,"BUKIT SELAMBU, 08010 SUNGAI PETANI",,KUALA MUDA,KEDAH,08010,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-02040051D,KLINIK PERGIGIAN DI KLINIK KESIHATAN KOTA KUALA MUDA,,"JALAN PANTAI MERDEKA, JALAN SUNGAI MAS",,KUALA MUDA,KEDAH,08500,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-02040485D,KLINIK PERGIGIAN DI KLINIK KESIHATAN UTC SUNGAI PETANI,,"LOT G-UTC-02, UTC SUNGAI PETANI,","BANGUNAN UKIR SQUARE, JALAN KUALA KETIL",KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN UTC,,
21-02040428,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. MEN. GURUN",KPSMG,"KLINIK PERGIGIAN SEKOLAH, D/A SEK MEN. GURUN",,KUALA MUDA,KEDAH,08300,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,5.803015,100.479359
21-02040432,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. REN. KEB. IBRAHIM",,"KLINIK PERGIGIAN SEKOLAH, D/A SEK REN KEB. IBRAHIM",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,5.652185,100.491008
21-02040429,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. MEN. TENGKU ISMAIL",,"KLINIK PERGIGIAN SEKOLAH, D/A SEK MEN. TENGKU ISMAIL",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,5.627569,100.466429
21-02040439,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. REN. JEN. KEB. CINAMIN TERK",,"KLINIK PERGIGIAN SEKOLAH, D/A SRJK ( C ) MIN TERK",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,5.635956,100.5145
21-02040481,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. REN. JEN. KEB. CINA SIN MIN A & B",,"KLINIK PERGIGIAN SEKOLAH, D/A SRJK ( C ) SIN MIN A & B",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,5.652974,100.485161
21-02040433,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. REN. KEB. KHIR JOHARI",,"KLINIK PERGIGIAN SEKOLAH, D/A SEK REN KEB. KHIR JOHARI",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,5.642508,100.481234
21-02040455,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. MEN. MERBOK",KPSMM,"KLINIK PERGIGIAN SEKOLAH, D/A SEK MEN. MERBOK",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,5.714848,100.416398
21-02040427,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. MEN. SAINS MOHD JIWA",,"KLINIK PERGIGIAN SEKOLAH, D/A SEK MEN SAIN MOHD JIWA",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,5.655104,100.500891
21-02040431,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. REN. KEB. SYED JAN AL JEFRI",,"KLINIK PERGIGIAN SEKOLAH, D/A SEK REN KEB SYED JAN AL JEFRI",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,5.659532,100.478302
41-02040024,KOLEJ KEJURURAWATAN SUNGAI PETANI,,"LENCONGAN TIMUR BARAT, BANDAR AMAN JAYA",,KUALA MUDA,KEDAH,08000,GOVERNMENT,KOLEJ,,
31-02040906,WELLNESS HUB KUALA MUDA,,"JALAN BADLISHAH, KAMPUNG SUNGAI TONGKA, 08000 SUNGAI PETANI, KEDAH",,KUALA MUDA,KEDAH,08000,GOVERNMENT,LAIN-LAIN,,
91-02040005,PEJABAT KESIHATAN DAERAH KUALA MUDA,PKDKM,"NO 81, JLN PADANG, SG PETANI KEDAH, KUALA MUDA",,KUALA MUDA,KEDAH,09800,GOVERNMENT,PEJABAT KESIHATAN DAERAH,5.64264,100.48799
91-02040326,PEJABAT KESIHATAN PERGIGIAN DAERAH KUALA MUDA,PKPDKMDA,JALAN KAPAL TERBANG,,KUALA MUDA,KEDAH,08000,GOVERNMENT,PEJABAT KESIHATAN PERGIGIAN DAERAH,,
11-02050015,HOSPITAL JITRA,,JALAN CHANGLUN,,KUBANG PASU,KEDAH,06000,GOVERNMENT,HOSPITAL,6.278285,100.419748
21-02050312,KLINIK DESA KAMPUNG TRADISI PAYA PAHLAWAN,KDKTPP,PAYA PAHLAWAN,,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK DESA,6.28573,100.446102
21-02050230,KLINIK DESA PADANG PERAHU,KDPPRH,"PADANG PERAHU, TUNJANG",,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK DESA,6.31443,100.36452
21-02050307,KLINIK DESA TITI KERBAU,KDTKRB,MUKIM SUNGAI LAKA,,KUBANG PASU,KEDAH,06010,GOVERNMENT,KLINIK DESA,6.44833,100.40236
21-02050184,KLINIK DESA TRADISI LEMBAH KERIANG,KDTLK,LEMBAH KERIANG,,KUBANG PASU,KEDAH,06010,GOVERNMENT,KLINIK DESA,6.44551,100.44155
21-02050216,KLINIK DESA MALAU,KDML,"MALAU, JITRA",,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK DESA,6.28858,100.44543
21-02050217,KLINIK DESA MEGAT DEWA,KDMDW,MEGAT DEWA,,KUBANG PASU,KEDAH,06100,GOVERNMENT,KLINIK DESA,6.32681,100.33196
21-02050165,KLINIK DESA KAMPUNG NAGA,KDKNAGA,NAGA,,KUBANG PASU,KEDAH,06200,GOVERNMENT,KLINIK DESA,6.22285,100.38847
21-02050181,KLINIK DESA TEMALANG,KDTML,TEMALANG,,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK DESA,6.3457,100.3674
21-02050245,KLINIK DESA PERMATANG PAKU,KDPPK,PERMATANG PAKU,,KUBANG PASU,KEDAH,06150,GOVERNMENT,KLINIK DESA,6.26124,100.26788
21-02050234,KLINIK DESA PADANG SERA,KDPSERA,PADANG SERA,,KUBANG PASU,KEDAH,06100,GOVERNMENT,KLINIK DESA,6.35626,100.33933
21-02050269,KLINIK DESA SUNGAI KOROK,KDSKRK,SUNGAI KOROK,,KUBANG PASU,KEDAH,06150,GOVERNMENT,KLINIK DESA,6.23663,100.3181
21-02050157,KLINIK DESA KAMPUNG DARAT,KDKDRT,KAMPUNG DARAT,,KUBANG PASU,KEDAH,06010,GOVERNMENT,KLINIK DESA,6.39743,100.45083
21-02050300,KLINIK DESA TELUK MALEK,KDTMLK,TELUK MALEK,,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK DESA,6.24472,100.39718
21-02050159,KLINIK DESA GELONG,KDGLG,MUKIM GELONG,,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK DESA,6.29676,100.39954
21-02050100,KLINIK DESA BATU EMPAT,,JALAN SANGLANG,,KUBANG PASU,KEDAH,06100,GOVERNMENT,KLINIK DESA,6.3215,100.4483
21-02050138,KLINIK DESA GUAR NAPAI,KDGN,"FELDA GUAR NAPAI, CHANGLON",,KUBANG PASU,KEDAH,06010,GOVERNMENT,KLINIK DESA,6.38295,100.38371
21-02050104,KLINIK DESA BATU LAPAN,,"FELDA BATU LAPAN, CHANGLON",,KUBANG PASU,KEDAH,06010,GOVERNMENT,KLINIK DESA,6.42628,100.38708
21-02050164,KLINIK DESA PERMATANG KERIANG,KDPKRG,"MUKIM JERAM, TUNJANG",,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK DESA,6.26406,100.31748
21-02050210,KLINIK DESA LANA BULU,KDLBL,LANA BULU,,KUBANG PASU,KEDAH,06150,GOVERNMENT,KLINIK DESA,6.28655,100.25913
21-02050125,KLINIK DESA BUKIT TANGGA,KDBTGG,"FELDA BUKIT TANGGA, BUKIT KAYU HITAM",,KUBANG PASU,KEDAH,06050,GOVERNMENT,KLINIK DESA,6.48897,100.47486
21-02050170,KLINIK DESA PIDA DUA,KDPDUA,"MUKIM JERAM, TUNJANG",,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK DESA,6.28414,100.32747
21-02050146,KLINIK DESA JERLUN,KDJRL,JERLUN,,KUBANG PASU,KEDAH,06150,GOVERNMENT,KLINIK DESA,6.20861,100.27205
21-02050042,KLINIK KESIHATAN CHANGLOON,KKCGLN,"KM9, LEBUHRAYA UTARA SELATAN",,KUBANG PASU,KEDAH,06010,GOVERNMENT,KLINIK KESIHATAN,6.425149,100.429344
21-02050049,KLINIK KESIHATAN KEPALA BATAS,KKKBTS,KEPALA BATAS,,KUBANG PASU,KEDAH,62000,GOVERNMENT,KLINIK KESIHATAN,6.20393,100.41635
21-02050491,KLINIK KESIHATAN NAPOH,,KLINIK KESIHATAN NAPOH,,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK KESIHATAN,6.361868,100.42076
21-02050083,KLINIK KESIHATAN TUNJANG,KKTJG,JALAN KODIANG,,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK KESIHATAN,6.29783,100.36599
21-02050031,KLINIK KESIHATAN BANAI,KKBNI,BANAI,,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK KESIHATAN,6.220883,100.458138
21-02050324,KLINIK KESIHATAN JITRA,,KLINIK KESIHATAN IBU DAN ANAK JITRA,,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK KESIHATAN,6.26274,100.42033
21-02050050,KLINIK KESIHATAN KODIANG,KKKDG,PEKAN KODIANG,,KUBANG PASU,KEDAH,06100,GOVERNMENT,KLINIK KESIHATAN,6.396452,100.304901
21-02050059,KLINIK KESIHATAN LAKA TEMIN,KKLT,BUKIT KAYU HITAM,,KUBANG PASU,KEDAH,06050,GOVERNMENT,KLINIK KESIHATAN,6.50386,100.42044
21-02050049D,KLINIK PERGIGIAN DI KLINIK KESIHATAN KEPALA BATAS,,KEPALA BATAS,,KUBANG PASU,KEDAH,62000,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-02050031D,KLINIK PERGIGIAN DI KLINIK KESIHATAN BANAI,,"BANAI, 06000 JITRA",,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-02050050D,KLINIK PERGIGIAN DI KLINIK KESIHATAN KODIANG,,PEKAN KODIANG,,KUBANG PASU,KEDAH,06100,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-02050059D,KLINIK PERGIGIAN DI KLINIK KESIHATAN LAKA TEMIN,,BUKIT KAYU HITAM,,KUBANG PASU,KEDAH,06050,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-02050083D,KLINIK PERGIGIAN DI KLINIK KESIHATAN TUNJANG,,"JALAN KODIANG, JITRA",,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-02050042D,KLINIK PERGIGIAN DI KLINIK KESIHATAN CHANGLOON,,"KM9, LEBUHRAYA UTARA SELATAN",,KUBANG PASU,KEDAH,06010,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-02050324D,KLINIK PERGIGIAN DI KLINIK KESIHATAN IBU DAN ANAK JITRA,,"KLINIK KESIHATAN IBU DAN ANAK JITRA, 06000 JITRA",,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN IBU DAN ANAK,,
21-02050370D,KLINIK PERGIGIAN DI KLINIK KOMUNITI RTC KEDAH,,RTC NAPOH,,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK PERGIGIAN DI RTC,,
21-02050462,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. KEB. SERI MUDA, ALOR BIAK",KPSSM,"KLINIK PERGIGIAN SEKOLAH, D/A SEK SERI MUDA, ALOR BIAK",,KUBANG PASU,KEDAH,06010,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,6.193396,100.333498
21-02050448,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. MEN. PULAU NYIOR",KPSMPN,JALAN KODIANG,,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,6.295649,100.36649
21-02050453,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. MEN. TUNKU BENDAHARA",KPSMTBND,"KLINIK PERGIGIAN SEKOLAH, D/A SEK MEN TUNKU BENDAHARA",,KUBANG PASU,KEDAH,06100,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,6.400472,100.328347
21-02050451,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. MEN. SULTAN ABD HALIM",KPSMSAH,"KLINIK PERGIGIAN SEKOLAH, D/A SEK MEN SUL. ABD HALIM",,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,6.230467,100.419501
21-02050445,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. MEN. AIR HITAM",KPSMAH,"KLINIK PERGIGIAN SEKOLAH, D/A SEK MEN AIR HITAM",,KUBANG PASU,KEDAH,06150,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,6.25649,100.2311
21-02050441,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. KEB. DATO' WAN KEMARA",KPSDWK,JALAN CHANGLUN,,KUBANG PASU,KEDAH,06100,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,6.427712,100.428967
21-02050443,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. KEB. TUNJANG",KPSKT,"KLINIK PERGIGIAN SEKOLAH, D/A SEK KEB TUNJANG",,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,6.258088,100.414258
21-02050463,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. KEB. SULTAN AHMAD TAJUDIN",KPSSAT,"KLINIK PERGIGIAN SEKOLAH, D/A SEK SUL. AHMAD TAJUDIN",,KUBANG PASU,KEDAH,06000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,6.272834,100.418042
21-02050425,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. MEN. CHANGLUN",KPSMCGN,JALAN CHANGLUN,,KUBANG PASU,KEDAH,06100,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,6.423305,100.430448
41-02050025,KOLEJ KESIHATAN AWAM JITRA,,JITRA,,KUBANG PASU,KEDAH,06000,GOVERNMENT,KOLEJ,,
31-02050001,MAKMAL KESELAMATAN DAN KUALITI MAKANAN KEDAH,,BANDAR BUKIT KAYU HITAM,,KUBANG PASU,KEDAH,06050,GOVERNMENT,LAIN-LAIN,6.503789,100.420351
91-02050006,PEJABAT KESIHATAN DAERAH KUBANG PASU,PKDKPS,KUBANG PASU,,KUBANG PASU,KEDAH,06000,GOVERNMENT,PEJABAT KESIHATAN DAERAH,6.26244,100.42032
91-02050330,PEJABAT KESIHATAN PERGIGIAN DAERAH KUBANG PASU,PKPDKBGPASU,JITRA,,KUBANG PASU,KEDAH,06000,GOVERNMENT,PEJABAT KESIHATAN PERGIGIAN DAERAH,,
91-02050013,PEJABAT KESIHATAN PINTU MASUK BUKIT KAYU HITAM,,"PK PMA BUKIT KAYU HITAM, ARAS 2, BLOCK C, KOMPLEK ICQS, BUKIT KAYU HITAM",,KUBANG PASU,KEDAH,06050,GOVERNMENT,PEJABAT KESIHATAN PINTU MASUK,6.511404,100.421498
91-02050086,PMA BUKIT KAYU HITAM (D),,PK BUKIT KAYU HITAM,"PK BUKIT KAYU HITAM, ARAS 1, BLOCK C, KOMPLEK LKIM, BUKIT KAYU HITAM",KUBANG PASU,KEDAH,06050,GOVERNMENT,"PINTU MASUK LAUT (L), UDARA (U),DARAT (D)",6.512695,100.422043
11-02060017,HOSPITAL KULIM,,JALAN MAHANG,,KULIM,KEDAH,09000,GOVERNMENT,HOSPITAL,5.393173,100.573329
21-02060302,KLINIK DESA TERAP,KDTRP,"TERAP, SERDANG",,KULIM,KEDAH,09800,GOVERNMENT,KLINIK DESA,5.28471,100.62579
21-02060177,KLINIK DESA SIDAM KANAN,KDSKN,"SIDAM KANAN, PADANG SERAI",,KULIM,KEDAH,09400,GOVERNMENT,KLINIK DESA,5.52917,100.56769
21-02060280,KLINIK DESA SUNGAI TENGAS ULU,KDSTU,"SUNGAI TENGAS ULU, SERDANG",,KULIM,KEDAH,09800,GOVERNMENT,KLINIK DESA,5.285515,100.672584
21-02060228,KLINIK DESA PADANG MEIHA,KDPMH,"PADANG MEIHA, PADANG SERAI",,KULIM,KEDAH,09410,GOVERNMENT,KLINIK DESA,5.49212,100.62773
21-02060137,KLINIK DESA GUAR LOBAK,KDGLBK,"SIDAM KANAN, PADANG SERAI",,KULIM,KEDAH,09400,GOVERNMENT,KLINIK DESA,5.53412,100.54617
21-02060092,KLINIK DESA AIR MERAH,KDAMRH,AIR MERAH,,KULIM,KEDAH,09000,GOVERNMENT,KLINIK DESA,5.35397,100.53593
21-02060225,KLINIK DESA PADANG CINA,KDPCINA,"PADANG CINA, KARANGAN",,KULIM,KEDAH,09700,GOVERNMENT,KLINIK DESA,5.44021,100.59241
21-02060162,KLINIK DESA KELADI,KDKLD,KELADI,,KULIM,KEDAH,09000,GOVERNMENT,KLINIK DESA,5.38965,100.54861
21-02060151,KLINIK DESA KAMPUNG BADLISHAH,KDBDLS,KAMPUNG BADLISHAH,,KULIM,KEDAH,09600,GOVERNMENT,KLINIK DESA,5.25789,100.6044
21-02060148,KLINIK DESA JUNJONG,KDJJG,JUNJONG,,KULIM,KEDAH,09000,GOVERNMENT,KLINIK DESA,5.30258,100.53531
21-02060268,KLINIK DESA SUNGAI KOB,KDSKOB,"SUNGAI KOB, KARANGAN",,KULIM,KEDAH,09700,GOVERNMENT,KLINIK DESA,5.42759,100.64453
21-02060281,KLINIK DESA SUNGAI ULAR,KDSU,SUNGAI ULAR,,KULIM,KEDAH,09000,GOVERNMENT,KLINIK DESA,5.37454,100.58136
21-02060091,KLINIK DESA AIR PUTIH,KDAPTH,AIR PUTIH,,KULIM,KEDAH,09000,GOVERNMENT,KLINIK DESA,5.28574,100.5443
21-02060209,KLINIK DESA LABU BESAR,KDLBS,LABU BESAR,,KULIM,KEDAH,09010,GOVERNMENT,KLINIK DESA,5.50248,100.67966
21-02060275,KLINIK DESA SUNGAI SELUANG,KDSSL,"SUNGAI SELUANG, LUNAS",,KULIM,KEDAH,09600,GOVERNMENT,KLINIK DESA,5.44761,100.55151
21-02060194,KLINIK DESA KILANG LAMA,KDKLAMA,KILANG LAMA,,KULIM,KEDAH,09000,GOVERNMENT,KLINIK DESA,5.3915,100.56318
21-02060175,KLINIK DESA SUNGAI SEDIM,KDSSD,"SEDIM, KARANGAN",,KULIM,KEDAH,09700,GOVERNMENT,KLINIK DESA,5.79342,100.62131
21-02060266,KLINIK DESA SUNGAI KARANGAN,KDSK,"SUNGAI KARANGAN, PADANG SERAI",,KULIM,KEDAH,09410,GOVERNMENT,KLINIK DESA,5.51488,100.61303
21-02060147,KLINIK DESA JUBAI,KDJUBAI,"JUBAI, LABU BESAR",,KULIM,KEDAH,09100,GOVERNMENT,KLINIK DESA,5.52714,100.67445
21-02060111,KLINIK DESA BIKAN,KDBKN,"BIKAN, LABU BESAR",,KULIM,KEDAH,09700,GOVERNMENT,KLINIK DESA,5.46897,100.69001
21-02060139,KLINIK DESA GUNUNG BONGSU,KDGB,"GUNUNG BONGSU, KARANGAN",,KULIM,KEDAH,09500,GOVERNMENT,KLINIK DESA,5.3682,100.69386
21-02060057,KLINIK KESIHATAN KULIM,KKKLM,JALAN HOSPITAL LAMA,,KULIM,KEDAH,09000,GOVERNMENT,KLINIK KESIHATAN,5.36742,100.55765
21-02060070,KLINIK KESIHATAN PADANG SERAI,KKPS,"JALAN LUNAS, PADANG SERAI",,KULIM,KEDAH,09400,GOVERNMENT,KLINIK KESIHATAN,5.51039,100.55393
21-02060048,KLINIK KESIHATAN KARANGAN,KKKRGN,"JALAN MAHANG, KARANGAN",,KULIM,KEDAH,09700,GOVERNMENT,KLINIK KESIHATAN,5.42722,100.65826
21-02060063,KLINIK KESIHATAN LUNAS,KKLNS,"JALAN ARA KUDA, LUNAS",,KULIM,KEDAH,09600,GOVERNMENT,KLINIK KESIHATAN,5.43012,100.5305
21-02060066,KLINIK KESIHATAN MERBAU PULAS,KKMP,"JALAN KUALA KETIL, MERBAU PULAS, PADANG SERAI",,KULIM,KEDAH,09410,GOVERNMENT,KLINIK KESIHATAN,5.5531,100.63492
21-02060081,KLINIK KESIHATAN TAMAN SELASIH,KKTS,"LOT 3302, TAMAN SELASIH",,KULIM,KEDAH,09000,GOVERNMENT,KLINIK KESIHATAN,5.37832,100.53767
21-02060064,KLINIK KESIHATAN MAHANG,KKMHG,"LOT 919, JALAN MAHANG, SERDANG",,KULIM,KEDAH,09800,GOVERNMENT,KLINIK KESIHATAN,5.32243,100.74928
