Data Element ID,Data element,DatasetID ,Date created ,Date updated ,Synonyms ,Translation of data element ,Descripton  ,Data element type ,Field property/data type for value,Field size ,Value selection/capture method ,Values/Codes for Values ,Value source 
,Consent Obtained,Transplant,May-13,,Consent taken; Consent given,Keizinan diberikan,Consent by next of kin for organ donation to proceed,,Alphanumeric,,,Refer to lookup table Consent,
,Consent Taken,Radiotherapy & Oncology,Sep-12,,Informed consent given,Penjelasan kepada Pesakit,Reclarify whether consent has been given to patient or not,,Alphabet,1 character,,"Y = Yes, N = No",
,Consultant In-charge – Care Provider Discipline,Hospital Discharge,Dec-06,,,Pakar perunding bertanggungjawab - disiplin,Discipline of the consultant in-charge privileged to authorize,,Alphanumeric,80 characters,,Predetermined list,MoH
,Consultant In-charge – Name,Hospital Discharge,Dec-06,,,Pakar perunding bertanggungjawab - nama,Name of the consultant in-charge who is privileged to authorize,,Alphanumeric,80 characters,,,
,Consultation In-charge’s MMC/MDC Registration Number,Hospital Discharge,Apr-12,,Consultant In-charge’s medical registration number,Nombor pendaftaran pakar perunding bertanggungjawab,MMC/MDC registration number,,Numeric,6 characters,,,MoH (MMC/MDC)
,Contact Telephone Number,"Person Record, Nuclear Medicine, Radiotherapy & Oncology, Mental",Mar-03,Dec-05,,Nombor dihubungi,Contact telephone number as stated by the individual,,Alphanumeric,"20 characters, breakdown to country code, example: +60388833129",,,NA
,Continuous Positive Airway Pressure (CPAP) at Initial Resuscitation,MNNR,May-13,,,,"Airway support of the newborn using continuous positive pressure delivered via nasal prongs or a mask. In the delivery setting, CPAP is delivered via T-piece resuscitation devices",,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
,Contralateral Injections,Cardiology,May-13,,,,Injection of contrast injected in the opposite non-occluded vessel,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Contrast Reaction,Cardiology,May-13,,,,Indicate if the patient experienced a contrast reaction during the cath lab visit or discharge (or before any subsequent lab visits). Contrast reaction is defined as following: 1. Anaphylaxis- including bronchospasm and/or vascular collapse 2. Urticaria 3. Hypotension-prolonged depression of blood pressure below 70mm Hg,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Contrast Volume,Cardiology,May-13,,,,Contrast volume in ml. Indicate if not available,,Numeric,,,,NCVD-PCI
,Conventional Ventilation,MNNR,May-13,,,,Intermittent positive pressure ventilation through an endotracheal tube with a conventional ventilator (IMV rate <240/min) at any time after leaving the delivery room,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",MNNR
gold_grade_2011,COPD Gold Grade,Respiratory,May-13,,,,International accepted staging of COPD severity 2011,,Alphanumeric,,Select from a shortlist,Refer to lookup table GOLD Grade 2011,
,Cord Around Neck,NOR,May-13,,,,Umbilical cord wrapped around baby’s neck at the time of delivery,,,,,,NOR
,Cord Prolapse,NOR,May-13,,,,Descend of the umbilical cord through the cervix along side (occult) or past the presenting part(overt) in the presence of ruptured membrane,,,,,,"NOR, MNNR"
corneal_graft_failure,Corneal Graft Failure,Ophthalmology,May-13,,,,Clinical evidence of failure of the grafted cornea,,Alphanumeric,,,Refer to lookup table Corneal Graft Failure,
corneal_graft_rejection,Corneal Graft Rejection,Ophthalmology,May-13,,,,Immune rejection of the grafted cornea,,Alphanumeric,,,Refer to lookup table Corneal Graft Rejection,
coronary_disease_>50%_stenosis,Coronary Disease >50% Stenosis,Cardiology,May-13,,,,Indicate coronary artery segments with 50% or greater coronary lumen stenosis measured during coronary angiogram. Coronary systems are defined as: LAD-Diag / Cx-OM / RCA (LMCA is 2 coronary systems as it gives rise to the LAD & Cx systems - therefore is multi-vessel disease. LAD-Diag is one coronary system as is Cx-OM and the RCA),,Alphanumeric,3 characters,Select from a shortlist,Refer to lookup table Coronary Disease >50% Stenosis,NCVD-PCI
coronary_lesion,Coronary Lesion,Cardiology,May-13,,,,Indicate the status of the coronary lesion,,Alphanumeric,3 characters,Select from a shortlist,Refer to lookup table Coronary Lesion,NCVD-PCI
,Coronary Perforation,Cardiology,May-13,,,,Indicate if the patient has coronary perforation during PCI,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Corrected EDD,NOR,,,,,Expected date of delivery corrected/ revised as a result of discrepency between clinical and /or ultrasonic finding and the EDD calculated according to LMP,Numeric,dd/mm/yyyy,8 characters,,,
,Country of Origin,Cardiology,May-13,,,,Specify country of origin if foreigner,,Alphanumeric,,,,NCVD-ACS NCVD-PCI
,Course Number,Radiotherapy & Oncology,Sep-12,,Current radiotherapy sequence,Bilangan radioterapi ke-,The current sequence of radiotherapy administered to the patient,,Numeric,2 characters,,,
,CPAP for Respiratory Support,MNNR,May-13,,,,Continuous positive airway pressure applied through the nose at any time after birth by CPAP e.g. by T piece resuscitator,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",MNNR
,Cranial Ultrasound Done for Screening of Intraventricular Haemorrhage - IVH,"Neonatology, MNNR",May-13,,Periventricular-Intraventricular Haemorrhage,,Ultrasound of the brain done on or before 28 days of life,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",MNNR
,CSA Intervention (Post),Cardiology,May-13,,,,Cross sectional area of vessel lumen post PCI as measured by IVUS or OCT,,Numeric,,,,NCVD-PCI
,CSA Intervention (Pre),Cardiology,May-13,,,,Cross sectional area of vessel lumen pre PCI as measured by IVUS or OCT,,Numeric,,,,NCVD-PCI
,CTA Guided,Cardiology,May-13,,,,PCI technique of trying to cross the CTO by outlining the occluded vessel by CT angiogram,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,CTO - Bridging Collaterals,Cardiology,May-13,,,,Microchannels formed from proximal to the distal occluded segment of a CTO vessel,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,CTO - Calcification,Cardiology,May-13,,,,Formation of hardened calcium deposits in the blood vessels,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
cto_entry_side,CTO - Entry Side,Cardiology,May-13,,,,Description of site of occlusion,,Alphanumeric,,Select from a shortlist,Refer to lookup table CTO-entry Side,NCVD-PCI
,CTO - Side Branches,Cardiology,May-13,,,,The presence of side-branches within 3 mm at site of CTO,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,CTO - Tortuosity/Bend > 45°,Cardiology,May-13,,,,The vessel angulation at the point of CTO,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
cto_lesion_crossed,CTO Lesion Crossed,Cardiology,May-13,,,,Wire crossed - wire able to cross the CTO but no other device can cross. Successful PCI - Other device is able to cross CTO once wire crossing is successful,,Alphanumeric,,Select from a shortlist,Refer to lookup table CTO Lesion Crossed,NCVD-ACS
cto_result,CTO Result,Cardiology,May-13,,,,Results obtained following PCI of CTO,,Alphanumeric,3 characters,Select from a shortlist,Refer to lookup table CTO Result,NCVD-PCI
,Current Obstetric Problems,NOR,,,,,Obstetric problems experienced during current/index pregnancy,Numeric,,,,,
,Current Treatment Modality,Radiotherapy & Oncology,Sep-12,,Therapy of combined modality,Modaliti rawatan kini,Identifiying the requirement of a combined modality treatment,,Alphabet,1 Character,,"C = Combined Modality, S = Single Modality",
,Date of BID,Forensic,Sep-12,,,,Date of which the body is brought to the hospital,,Date - DD/MM/YYYY,8 characters,,,
,Date of Birth,"Obstetric, Person Record, Hospital Discharge, Emergency, Cancer, Oral Health",Mar-03,Dec-13,DOB,Tarikh lahir,Date of birth as in identification document,,Date - DD/MM/YYYY,8 characters,,,
,Date of Body Received,Forensic,Sep-12,,,,Date of which the body is received at the mortuary,,Date - DD/MM/YYYY,8 characters,,,
,Date of Body Released,Forensic,Sep-12,,,,Date of which the body is released to the appropriate parties,,Date - DD/MM/YYYY,8 Characters,,,
,Date of Death,"Person Record, Cancer, Forensic, Cardiology, Neonatology, Colorectal",Mar-03,,,Tarikh kematian,Date of death as per death certificate,,Date - DD/MM/YYYY,8 characters,,,
,Date of Delivery,Obstetric,Mar-03,,"DOB, Date of Delivery",Tarikh bersalin,"Actual data recorded during delivery process and in case of multiplicity, date refers to the date of delivery of the first baby",,Date - DD/MM/YYYY,8 characters,,,
death_certified_by,Death Certified By,"Person Record, Forensic",Dec-05,Sep-12,,Kematian diperaku oleh,Person (medical or non-medical) who certified death as confirmed by the medical report/hospital discharge summary/death certificate,,Alphanumeric,20 characters,,Refer to lookup table Death Certified By,JPN
,Death Pronounced by,Forensic,Sep-12,,,Kematian disahkan oleh,Confirmation that death has taken place by a medical officer or trained para-medical personnel,,Alphanumeric,80 characters,,,
,Decayed Deciduous Teeth (d),Oral Health,Sep-12,,"Dental caries, dental cavity",Gigi susu berlubang,Progressive demineralisation of tooth structure and destruction of organic tooth structure,,Numeric,2 characters,,,MoH
,Decayed Permanent Teeth (D),Oral Health,Sep-12,Sep-12,"Dental caries, dental cavity",Gigi kekal berlubang,Progressive demineralisation of tooth structure and destruction of organic tooth structure,,Numeric,2 characters,,NA,MoH
,Deciduous Teeth Indicated for Extraction (x),Oral Health,Sep-12,,,Gigi susu yang perlu dicabut,Number of deciduous teeth indicated for extraction,,Numeric,2 characters,,,MoH
delay_in_discharge_colorectal_cancer,Delay in Discharge of Colorectal Cancer,Colorectal Cancer,,,,Lewat discaj dalam kanser kolorektal,Presence of delay of discharge in patient of colorectal cancer after surgery,Numeric,,2,,Refer lookup table for Delay in Discharge of Colorectal Cancer,
delayed_complications_postsurgery_colorectal_cancer,Delayed Complications Post Surgery in Colorectal Cancer,Colorectal Cancer,May-13,,,Komplikasi lewat selepas pembedahan pesakit kanser kolorektal,Complications seen post operatively from 7th post op day to 6 weeks post op,,Alphanumeric,,,Refer to lookup table Delayed Complications Post Surgery in Colorectal Cancer,
,Deliver Outcome of Baby,NOR,,May-13,,,"Describes the end result of the fetus after deliver- Alive, Stillbirth (Freshstill, macerated) and early neonatal death",,,,,,NOR
,Delivered by,NOR,May-13,,,,Category of birth attendant conducting the delivery,,,,,,NOR
,Delivery Type,"MNNR, NOR",,May-13,Mode of delivery,,Method of complete expulsion or extraction of fetus from the mother,Numeric,,2 characters,,,"NOR, MNNR"
dental_radiology,Dental Radiology,Oral Health,Sep-12,Sep-12,Dental x-ray,X-ray pergigian,,,Numeric,1 character,,Refer to look up table -Dental Radiology,MoH
dental_trauma,Dental Trauma,Oral Health,Sep-12,,,Trauma gigi,Trauma to the teeth,,Alphanumeric,,,Refer to lookup table Dental Trauma,MoH
denture_needed,Denture Needed,Oral Health,Sep-12,Sep-12,Dental prosthesis needed,Gigi palsu diperlukan,Artificial replacement for natural teeth and surrounding tissue that exist,,Alphanumeric,,,Refer to lookup table Denture Needed,
denture_present,Denture Present,Oral Health,Sep-12,Sep-12,Dental prosthesis present,Gigi palsu sedia ada,Artificial replacement for natural teeth and surrounding tissue that exist,,Alphanumeric,,,Refer to lookup table Denture Present,
,Description of Drug Name,Pharmacy,Sep-12,,,Deskripsi nama ubat,Printed drug label description,,Alphanumeric,30 characters,,,PhIS
,Diabetes,Cardiology,May-13,,,,"Indicate if the patient has diabetes as documented by following: 1. A history of diabetes, regardless of duration of disease, or need for antidiabetic agents or 2. Fasting blood glucose > 7.0mmol/L or 3. HbA1c",,Alphanumeric,10 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Not Known",NCVD-ACS NCVD-PCI
,Diabetes Mellitus,NOR,May-13,,,,"Metabolic disorder characterised by hyperglycemia resulting from defect from insulin secretion, insulin action or both",,,,,,"NOR, MNNR"
diabetes_treatment,Diabetes Treatment,Cardiology,May-13,,,,The type of diabetes treatment the person is currently receiving,,Alphanumeric,,Select from a shortlist,Refer to lookup table Diabetes Treatment,NCVD-ACS NCVD-PCI
,Diagnosis of Complication,Hospital Discharge,Dec-05,Apr-12,,Diagnosis komplikasi,"Condition that develop during the admission episode resulting from surgical/medical care or disease progression eg: septicaemia, multi organ failure",,Alphanumeric,200 characters,,Refer to ICD-10,WHO International Classification of Diseases and Health Related Problems 10th Revision (ICD 10)
,Diagnosis of Primary Based on Histology,Radiotherapy & Oncology,May-13,,,,Primary cancer diagnosis based on histology,,Alphanumeric,,Select from a shortlist,Refer to ICD-O,WHO International Classification of Diseases for Oncology (ICD-O) 3rd Edition
,Diagnosis of Primary Cancer Based on Site,Radiotherapy & Oncology,May-13,,,,The anatomical site of origin of the primary tumour according to the ICD-10 code set representing the site of origin of a tumour,,Alphanumeric,200 characters,Select from a shortlist,Refer to ICD-10,WHO International Classification of Diseases and Health Related Problems 10th Revision (ICD 10)
,Diastolic Blood Pressure,Cardiology,May-13,,,,The person’s measured diastolic blood pressure (in mmHg) at presentation,,Numeric,,,,NCVD-ACS NCVD-PCI
,Did Patient Undergo CABG on This Admission,Cardiology,May-13,,,,Indicate if patient undergo CABG on this admission,,Alphanumeric,15 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Not Applicable",NCVD-ACS
,Did Patient Undergo Cardiac Catheterization on This Admission at Your Centre?,Cardiology,May-13,,,,"Indicates if cardiac catheterization was performed for the patient during index admission. For participating centres without cath lab facilities where the patient was discharged from the hospital prior to transfer, the ‘No’ only box should be checked. For patients transferred directly without discharge, the “No – transferred to another center.. “ box should be checked",,Alphanumeric,30 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Transferred to another centre",NCVD-ACS
,Did Patient Undergo Percutaneous Coronary Intervention on This Admission?,Cardiology,May-13,,,,Defines if the patient underwent percutaneous coronary intervention as part of revascularization strategy,,Alphanumeric,15 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Not Applicable",NCVD-ACS
differentiation_histologic_type_colorectal_cancer,Differentiation of Histologic Type of Colorectal Cancer,Colorectal Cancer,May-13,,,Perbezaan dalam pemeriksaan histologi kanser kolorektal,The level of cell differentiation under microscopic evaluation of colorectal cancer,,Alphanumeric,,,Refer to lookup table Differentiation of Histologic Type of Colorectal Cancer,
,Direct Stenting,Cardiology,May-13,,,,Stent deployment without prior treatment of stenotic segment,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
disability_categories,Disability Categories,Mental Health/Psychiatric,Sep-12,,,,Disability categories based on Welfare Department,,Alphanumeric,,Select from a shortlist,Refer to lookup table Disability Categories,
,Disability Status,Mental Health/Psychiatric,Sep-12,,,,Patient registered with Welfare Department as a person with Disability,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
disaster_type,Disaster Type,Emergency,Oct-06,,,Jenis bencana,Denotes various values for major incidence and due to disasters,,Alphanumeric,25 characters,,Refer to lookup table Disaster Type,MoH
disaster_forensic,Disaster_Forensic,Forensic,Sep-12,,,,An event involving multiple fatalities requiring forensic pathology management that exceeds the local resources,,Alphanumeric,80 characters,Select from a shortlist,Refer to lookup table Disaster_Forensic,
,Discharge Destination,Neurology,May-13,,,,The type of location to which a patient is discharged or transferred following an episode of care,,Alphanumeric,,,,
discharge_type,Discharge Type,Hospital Discharge,Dec-05,Apr-12,Disposition type,Jenis discaj,Denote values used to describe the circumstances of discharge,,Alphanumeric,35 characters,,Refer to lookup table Discharge Type,SMRP
disposition_from_emergency_department,Disposition from Emergency Department,Emergency,Apr-12,,,Penempatan pesakit selepas rawatan lengkap di Jabatan Kecemasan,To denote the disposition patient from Emergency Department,,Alphanumeric,30 characters,,Refer to lookup table Disposition from Emergency Department,MoH
level_of_impairment,Disruptive Behaviour,Mental Health/Psychiatric,Sep-12,,,,Impairment in domain of disruptive behaviour,,Alphanumeric,,Select from a shortlist,Refer to lookup table Level of Impairment,
,Dissection - Complication,Cardiology,May-13,,,,Indicate if the patient has dissection following PCI during hospitalization requiring emergency re-intervention,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Dissection (Post Procedure),Cardiology,May-13,,,,Indicate for the treated segment (or for a significant side branch) if a dissection > 5 mm was observed during the PCI procedure. Dissection is defined as the appearance of contrast materials outside of the expected luminal dimensions of the target vessel,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Dissection (Vascular),Cardiology,May-13,,,,Indicate whether a dissection occurred at the site of percutaneous entry during the procedure or after lab visit but before any subsequent lab visits. A dissection is defined as a disruption of an arterial wall resulting insplitting and separation of the intimal (subintimal) layers,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Distance of Tumour from Anal Verge in Surgery of Rectum in Colorectal Cancer,Colorectal Cancer,May-13,,,Berapa jauh pembedahan dilakukan dari anal verge dalam kanser kolorectal,The distance indicating the point of surgical resection in colorectal cancer,,Numeric,3 characters,,,
distant_metastasis_in_colorectal_cancer,Distant Metastases in Colorectal Cancer,Colorectal Cancer,May-13,,,Penyakit jauh dari ketumbuhan asal,The presence or absence of spread of disease,,Alphanumeric,,,Refer to lookup table Distant Metastasis in Colorectal Cancer,
,Diuretics,Cardiology,May-13,,,,Indicate if Diuretics was given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Diuretics Given at Discharge,Cardiology,May-13,,,,Diuretics administered intravenously or orally at discharge?,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Diuretics Given during Admission,Cardiology,May-13,,,,Diuretics administered intravenously or orally during admission?,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
dlqi_question_1,DLQI - Question 1,Dermatology,May-13,,,,"Over the last week, how itchy, sore, painful or stinging has your skin been?",,Alphanumeric,,,Refer to lookup table DLQI - Question 1-10 (except 7a & 7b),
dlqi_question_10,DLQI - Question 10,Dermatology,May-13,,,,"Over the last week, how much of a problem has the treatment for your skin been, for example by making your home messy, or by taking up time?",,Alphanumeric,,,Refer to lookup table DLQI - Question 1-10 (except 7a & 7b),
dlqi_question_2,DLQI - Question 2,Dermatology,May-13,,,,"Over the last week, how embarrassed or self-conscious have you been because of your skin?",,Alphanumeric,,,Refer to lookup table DLQI - Question 1-10 (except 7a & 7b),
dlqi_question_3,DLQI - Question 3,Dermatology,May-13,,,,"Over the last week, how much has your skin interfered with you going shopping or looking after your home or garden?",,Alphanumeric,,,Refer to lookup table DLQI - Question 1-10 (except 7a & 7b),
dlqi_question_4,DLQI - Question 4,Dermatology,May-13,,,,"Over the last week, how much has your skin influenced the clothes you wear?",,Alphanumeric,,,Refer to lookup table DLQI - Question 1-10 (except 7a & 7b),
dlqi_question_5,DLQI - Question 5,Dermatology,May-13,,,,"Over the last week, how much has your skin affected any social or leisure activities?",,Alphanumeric,,,Refer to lookup table DLQI - Question 1-10 (except 7a & 7b),
dlqi_question_6,DLQI - Question 6,Dermatology,May-13,,,,"Over the last week, how much has your skin made it difficult for you to do any sport?",,Alphanumeric,,,Refer to lookup table DLQI - Question 1-10 (except 7a & 7b),
dlqi_question_7a,DLQI - Question 7a,Dermatology,May-13,,,,"Over the last week, has your skin prevented you from working or studying?",,Alphanumeric,,,Refer to lookup table DLQI - Question 7a,
dlqi_question_7b,DLQI - Question 7b,Dermatology,May-13,,,,"If “No”, over the last week how much has your skin been a problem at work or studying?",,Alphanumeric,,,Refer to lookup table DLQI - Question 7b,
dlqi_question_8,DLQI - Question 8,Dermatology,May-13,,,,"Over the last week, how much has your skin created problems with your partner or any of your close friends or relatives?",,Alphanumeric,,,Refer to lookup table DLQI - Question 1-10,
dlqi_question_9,DLQI - Question 9,Dermatology,May-13,,,,"Over the last week, how much has your skin caused any sexual difficulties?",,Alphanumeric,,,Refer to lookup table DLQI - Question 1-10 (except 7a & 7b),
,DMFX,Oral Health,Sep-12,,,,"Total number of decayed, missing, filled and extraction needed of the permanent teeth in oral cavity",,Numeric,2 characters,,,MoH
,Documented CAD,Cardiology,May-13,,,,"Indicate if the patient has angiographically-proven coronary disease involving at least 1 vessel with greater than 50% stenosis, or have undergone percutaneous angioplasty (PCI) or coronary artery bypass graft (CABG) prior to this admission to the hospital. Presence of >50% stenosis on CTA, angiogram or ischaemia on functional cardiac imaging such as nuclear, MRI, echo. Positive treadmill test or high calcium score alone is not sufficient.Defines TIMI UA/NSTEMI score",,Alphanumeric,10 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Not Known",NCVD-ACS NCVD-PCI
,Donor Graft Size,Ophthalmology,May-13,,,,The size of the donor corneal tissue prepared,,Alphanumeric,,,,
,Dosage,Pharmacy,Sep-12,,,Dos,Dosage of drugs,,Numeric,5 characters,,,
dosage_form,Dosage Form,Pharmacy,Sep-12,,Form of drug,Bentuk dos,Dosage form of drug,,Alphanumeric,20 characters,,Refer to lookup table Dosage Form,PhIS
,Dosage or Quantity,Hospital Discharge,Mar-03,Apr-12,,,Dosage/quantity as per prescription,,Numeric,5 characters with 2 decimal point,,Refer Malaysian Drug Code (MDC),MoH
dose_radiation_administered_colorectal_cancer,Dose of Radiation Administered in Colorectal Cancer,Colorectal Cancer,May-13,,,Jumlah dos radiasi diberikan kepada pesakit kanser kolorektal,Amount of radiation dose administered to colorectal cancer patient,,Numeric,3 characters,,Refer to lookup table Dose of Radiation Administered in Colorectal Cancer,
drug_category,Drug Category,Pharmacy,Sep-12,,,Kategori ubat,"Category of drug whether it is List A, A*, AKK, B, C based on FUKKM list",,Alphanumeric,20 characters,,Refer to lookup table Drug Category,PhIS
,Drug Name,Pharmacy,Sep-12,,,Nama ubat,Drug name following FUKKM (Formulari Ubat Kementerian Kesihatan Malaysia) and KPK (Ketua Pengarah Kesihatan) to be displayed in order screen,,Alphanumeric,60 characters,,,PhIS/MDC
,Drug Registration Number,Pharmacy,Sep-12,,MAL number,Nombor pendaftaran ubat,Drug Registration Number,,Alphanumeric,20 characters,,,BPFK - Biro Pengawalan Farmaseutikal Kebangsaan
,Drug Related Complications,Mental Health/Psychiatric,Sep-12,,,,Past history of drug related complications,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
drug_schedule,Drug Schedule,Pharmacy,Sep-12,,,Ubat berjadual,"Categorise drug as scheduled poison, non-poison and psychotropic/narcotic",,Alphanumeric,30 characters,,Refer to lookup table Drug Schedule,
drug_type,Drug Type,Pharmacy,Sep-12,,,Jenis ubat,"Consist of Radiopharmaceutical, Generator, Parenteral Nutrition and Others",,Alphanumeric,20 characters,,Refer to lookup table Drug Type,PhIS
,Duration,Hospital Discharge,Mar-03,,,Tempoh masa preskripsi,Duration of medication prescribe in numbers,,Numeric,3 characters,,,
,Duration after Corneal Transplant Surgery,Ophthalmology,May-13,,,,Time period after corneal transplant surgery in years,,Alphanumeric,,,,
,Duration from Diagnosis to Death in Colorectal Cancer,Colorectal Cancer,May-13,,,Jangka masa dari diagnosa ke kematian dalam kanser kolorektal,The length of period from diagnosis to death in colorectal cancer,,Numeric,3 characters,,,
,Duration of Cataract Operation,Ophthalmology,May-13,,,,Total time taken for cataract operation to be performed,,Alphanumeric,,,,
,Duration of CTO,Cardiology,May-13,,,,Estimated occurrence of CTO,,Numeric,,,,NCVD-PCI
,Duration of Illness,Nuclear Medicine,Sep-12,,,Jangkamasa penyakit,"of time from manifestation of symptom(s) or diagnosis made until date of current appointment in weeks, months, or years",,Numeric,3 characters,,,
,Duration of Untreated Mental Illness,Mental Health/Psychiatric,Sep-12,,,,Time period of onset of first psychiatric symptom to initiation of treatment,,Numeric,nn.nn,(days/weeks/months/years),,
,Duration on Continuous Positive Airway Pressure,Hospital Discharge,Dec-05,Apr-12,Length of time on CPAP,Tempoh masa (jam) menggunakan CPAP,The total number of hours a person is on CPAP during critical care management,,Numeric,5 characters,,,
,Duration on Intermittent Mechanical Ventilation,Hospital Discharge,Dec-05,,Length of time on IMV,Tempoh masa menggunakan IMV,The length of time on Intermittent Mechanical Ventilation while the person was under critical care management,,Numeric,6 characters with 2 decimal point,,,
,DVT Prophylaxis,Neurology,May-13,,,,"DVT prophylaxis – patients at risk of DVT example Acute lower limb paralysis (e.g. hemiplegic stroke paraplegia) would include subcutaneous low molecular weight heparin, subcutaneous unfractionated heparin and pneumatic compression stocking",,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
,Dyslipidaemia,Cardiology,May-13,,,,"Indicate if the patient has a history of dyslipidaemia diagnosed prior to admission to the hospital and/or currently receiving treatment for dyslipidaemia, and/or Total Cholesterol >5.2 mmol/L, HDL < 1.0mmol/L or Triglycerides > 2.0mmol/L",,Alphanumeric,10 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Not Known",NCVD-ACS NCVD-PCI
,Dysphagia Screening,Neurology,May-13,,,,"Documented in nurse’s notes or speech/swallowing consult. Types of dysphagia screen include simple water swallow test, formal speech evaluation, and None of these are screens but diagnostic tests! The screen was done prior to any of these being performed",,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
,Early CPAP within 1 Hour from Birth,MNNR,May-13,,,,Continuous positive airway pressure applied through the nose within 1 hour from birth by CPAP eg: by T-piece resuscitator,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",MNNR
,Early Neonatal Death,NOR,May-13,,,,Death that occur in the early neonatal period (less than 7 days of age),,,,,,NOR
,Early Onset Sepsis,MNNR,May-13,,,,Confirmed sepsis with onset at <= 72 hours of life,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",MNNR
ecg_abnormalities_location,ECG Abnormalities Location,Cardiology,May-13,,,,Describes the location of ECG abnormalities,,Alphanumeric,,Select from a shortlist,Refer to lookup table ECG Abnormalities Location,NCVD-ACS
ecg_abnormalities_type,ECG Abnormalities Type,Cardiology,May-13,,,,Describes the type of abnormalities seen on the ECG,,Alphanumeric,2 characters,Select from a shortlist,Refer to lookup table ECG Abnormalities Type,NCVD-ACS
,ECG Findings,Neurology,May-13,,,,An electrocardiogram (ECG) and echocardiogram (to identify arrhythmias and resultant clots in the heart which may spread to the brain vessels through the bloodstream). The findings are classified as Normal or Abnormal or Not done if it is not performed,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
,Ectopic Pregnancy,MNNR,May-13,,,,Exrauterine pregnancy,,,,,,NOR
,ECV,MNNR,May-13,,,,External cephalic version - A procedure performed to convert a fetal presentation from breech to cephalic,,,,,,NOR
,EDD,MNNR,,,Expected date of delivery,,Date of completion of 40 weeks starting from the first day of the last menstrual period of the pregnant mother,Numeric,dd/mm/yyyy,8 characters,,,NOR
,Education Level,"Person Record, Forensic, Mental Health/Psychiatric",Apr-12,,,Tahap pendidikan,The highest level of education attained/currently studying,,Alphanumeric,80 characters,,,Ministry of Education
education_level_of_colorectal_cancer,Education Level of Colorectal Cancer,Colorectal Cancer,May-13,,,Tahap pendidikan kolorektal kanser,The highest level of education in patient with colorectal cancer,,Alphanumeric,,,Refer to lookup table Education level of Colorectal Cancer,
eeg_table,EEG,Mental Health/Psychiatric,Sep-12,,,,Electroencephalography was carried out for patient,,Alphanumeric,,Select from a shortlist,Refer to lookup table EEG table,
,Elective PCI,Cardiology,May-13,,,,PCI performed for patients with stable CAD,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Email Address,Person Record,Mar-03,,,Alamat email,Electronic mail address as stated by the individual,,Alphanumeric,50 characters,,,
,Email Address Healthcare Facility,"Hospital Discharge, Cancer",Mar-03,,,Alamat email,Electronic mail address of the healthcare facility,,Alphanumeric,30 characters,,,
